,ID,project,lab,composite,dataType,view,cell,treatment,antibody,control,dataVersion,dccAccession,controlId,quality,tableName,type,md5sum,size
0,wgEncodeAwgTfbsBroadDnd41CtcfUniPk,wgEncode,Broad,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,Dnd41,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH002402,wgEncodeEH002434,good,wgEncodeAwgTfbsBroadDnd41CtcfUniPk,narrowPeak,d24dcb9899cf3f58dfb83e8701b9e9cc,966K
1,wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk,wgEncode,Broad,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,Dnd41,None,EZH2_(39875),std,ENCODEMar2012Freeze,wgEncodeEH003080,wgEncodeEH002434,caution,wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk,narrowPeak,effd48196e39d321ad9f4e2c857dbe88,43K
2,wgEncodeAwgTfbsBroadGm12878CtcfUniPk,wgEncode,Broad,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,GM12878,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000029,wgEncodeEH000037,good,wgEncodeAwgTfbsBroadGm12878CtcfUniPk,narrowPeak,fef0af7fe1e724159e665085da53efb1,982K
3,wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk,wgEncode,Broad,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,GM12878,None,EZH2_(39875),std,ENCODEMar2012Freeze,wgEncodeEH002411,wgEncodeEH000037,good,wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk,narrowPeak,9a87661953cb6419847abd00599f0a30,66K
4,wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk,wgEncode,Broad,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,H1-hESC,None,CHD1_(A301-218A),std,ENCODEMar2012Freeze,wgEncodeEH002095,wgEncodeEH000088,good,wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk,narrowPeak,71891a536ed23a626f37d0c9b64ff2b1,184K
5,wgEncodeAwgTfbsBroadH1hescCtcfUniPk,wgEncode,Broad,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,H1-hESC,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000085,wgEncodeEH000088,good,wgEncodeAwgTfbsBroadH1hescCtcfUniPk,narrowPeak,2f6c4125815daf00551e046db4dd87de,1.4M
6,wgEncodeAwgTfbsBroadH1hescEzh239875UniPk,wgEncode,Broad,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,H1-hESC,None,EZH2_(39875),std,ENCODEMar2012Freeze,wgEncodeEH003082,wgEncodeEH000088,good,wgEncodeAwgTfbsBroadH1hescEzh239875UniPk,narrowPeak,21c04c7e708c5aba1967dc33bf2a5907,147K
7,wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk,wgEncode,Broad,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,H1-hESC,None,JARID1A_(ab26049),std,ENCODEMar2012Freeze,wgEncodeEH002096,wgEncodeEH000088,good,wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk,narrowPeak,a808486fab62296e4ac3781b8eb0aa73,42K
8,wgEncodeAwgTfbsBroadH1hescRbbp5a300109aUniPk,wgEncode,Broad,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,H1-hESC,None,RBBP5_(A300-109A),std,ENCODEMar2012Freeze,wgEncodeEH002087,wgEncodeEH000088,good,wgEncodeAwgTfbsBroadH1hescRbbp5a300109aUniPk,narrowPeak,881cb167d6ed2979b5e8078be3e774b3,379K
9,wgEncodeAwgTfbsBroadHelas3CtcfUniPk,wgEncode,Broad,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HeLa-S3,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH001012,wgEncodeEH001013,good,wgEncodeAwgTfbsBroadHelas3CtcfUniPk,narrowPeak,79856d2db27ecc4773d8bc2940c71fce,1018K
